Timestamp,Red,Green,Blue,Raw
2025-12-20 19:48:02.327,196,80,90,"196,80,90"
2025-12-20 19:48:02.831,194,78,90,"194,78,90"
2025-12-20 19:48:03.334,194,78,90,"194,78,90"
2025-12-20 19:48:03.834,194,78,90,"194,78,90"
2025-12-20 19:48:04.340,194,78,90,"194,78,90"
2025-12-20 19:48:04.842,196,78,90,"196,78,90"
2025-12-20 19:48:05.345,194,78,90,"194,78,90"
2025-12-20 19:48:05.845,194,78,90,"194,78,90"
2025-12-20 19:48:06.349,194,78,93,"194,78,93"
2025-12-20 19:48:06.853,194,80,93,"194,80,93"
2025-12-20 19:48:07.356,194,78,92,"194,78,92"
2025-12-20 19:48:07.857,194,78,90,"194,78,90"
2025-12-20 19:48:08.185,,,,---MARKER---
2025-12-20 19:48:08.362,154,37,48,"154,37,48"
2025-12-20 19:48:08.864,105,142,99,"105,142,99"
2025-12-20 19:48:09.368,174,206,152,"174,206,152"
2025-12-20 19:48:09.871,178,209,154,"178,209,154"
2025-12-20 19:48:10.371,186,210,161,"186,210,161"
2025-12-20 19:48:10.875,203,219,182,"203,219,182"
2025-12-20 19:48:11.375,204,219,183,"204,219,183"
2025-12-20 19:48:11.878,204,220,183,"204,220,183"
2025-12-20 19:48:12.378,204,220,184,"204,220,184"
2025-12-20 19:48:12.882,204,220,184,"204,220,184"
2025-12-20 19:48:13.382,202,220,184,"202,220,184"
2025-12-20 19:48:13.881,202,220,183,"202,220,183"
2025-12-20 19:48:14.385,202,220,184,"202,220,184"
2025-12-20 19:48:14.885,202,220,184,"202,220,184"
2025-12-20 19:48:15.389,202,220,183,"202,220,183"
2025-12-20 19:48:15.888,202,220,183,"202,220,183"
2025-12-20 19:48:16.392,202,220,186,"202,220,186"
2025-12-20 19:48:16.892,202,220,183,"202,220,183"
2025-12-20 19:48:17.395,202,220,183,"202,220,183"
2025-12-20 19:48:17.895,199,217,177,"199,217,177"
2025-12-20 19:48:18.399,196,216,178,"196,216,178"
2025-12-20 19:48:18.899,195,216,178,"195,216,178"
2025-12-20 19:48:19.402,196,217,179,"196,217,179"
2025-12-20 19:48:19.902,196,217,179,"196,217,179"
2025-12-20 19:48:20.406,196,217,177,"196,217,177"
2025-12-20 19:48:20.906,196,217,177,"196,217,177"
2025-12-20 19:48:21.409,199,217,177,"199,217,177"
2025-12-20 19:48:21.909,199,217,177,"199,217,177"
2025-12-20 19:48:22.413,196,216,179,"196,216,179"
2025-12-20 19:48:22.913,196,217,176,"196,217,176"
2025-12-20 19:48:23.416,196,216,176,"196,216,176"
2025-12-20 19:48:23.916,195,216,178,"195,216,178"
2025-12-20 19:48:24.420,195,216,178,"195,216,178"
2025-12-20 19:48:24.920,194,216,174,"194,216,174"
2025-12-20 19:48:25.247,,,,---MARKER---
2025-12-20 19:48:25.423,191,214,173,"191,214,173"
2025-12-20 19:48:25.923,94,132,88,"94,132,88"
2025-12-20 19:48:26.427,0,0,0,"0,0,0"
2025-12-20 19:48:26.932,37,107,177,"37,107,177"
2025-12-20 19:48:27.435,44,111,173,"44,111,173"
2025-12-20 19:48:27.938,40,110,174,"40,110,174"
2025-12-20 19:48:28.442,38,107,176,"38,107,176"
2025-12-20 19:48:28.946,40,109,174,"40,109,174"
2025-12-20 19:48:29.446,41,110,174,"41,110,174"
2025-12-20 19:48:29.950,42,110,174,"42,110,174"
2025-12-20 19:48:30.453,39,108,174,"39,108,174"
2025-12-20 19:48:30.957,41,108,174,"41,108,174"
2025-12-20 19:48:31.461,42,108,174,"42,108,174"
2025-12-20 19:48:31.961,42,108,174,"42,108,174"
2025-12-20 19:48:32.464,42,110,174,"42,110,174"
2025-12-20 19:48:32.968,43,111,174,"43,111,174"
2025-12-20 19:48:33.472,43,108,174,"43,108,174"
2025-12-20 19:48:33.976,41,108,177,"41,108,177"
2025-12-20 19:48:34.475,41,109,177,"41,109,177"
2025-12-20 19:48:34.979,43,108,174,"43,108,174"
2025-12-20 19:48:35.483,43,111,174,"43,111,174"
2025-12-20 19:48:35.987,52,108,169,"52,108,169"
2025-12-20 19:48:36.491,48,110,173,"48,110,173"
2025-12-20 19:48:36.994,44,109,174,"44,109,174"
2025-12-20 19:48:37.494,43,108,174,"43,108,174"
2025-12-20 19:48:37.998,44,111,174,"44,111,174"
2025-12-20 19:48:38.502,44,109,174,"44,109,174"
2025-12-20 19:48:39.005,42,108,174,"42,108,174"
